Date,CO2,Temp
2000.2896,371.57,14.278867
2000.3716,371.74,15.040937
2000.4563,371.6,15.738832
2000.5383,370.02,15.991148
2000.623,368.03,15.936432
2000.7077,366.53,15.207555
2000.7896,366.64,14.050634
2000.8743,368.2,13.023861
2000.9563,369.44,12.32318
2001.0411,370.2,12.212121
2001.126,371.42,12.446715
2001.2027,372.04,13.249902
2001.2877,372.78,14.208167
2001.3699,373.94,15.21575
2001.4548,373.23,15.871803
2001.537,371.54,16.208397
2001.6219,369.47,16.060528
2001.7068,367.88,15.368109
2001.789,368.01,14.340297
2001.874,369.6,13.470025
2001.9562,371.16,12.695515
2002.0411,372.36,12.537122
2002.126,373,12.721333
2002.2027,373.44,13.600031
2002.2877,374.77,14.297926
2002.3699,375.48,15.341526
2002.4548,375.33,16.005978
2002.537,373.95,16.262848
2002.6219,371.41,16.064877
2002.7068,370.63,15.451495
2002.789,370.18,14.3653755
2002.874,372.01,13.315682
2002.9562,373.71,12.543246
2003.0411,374.61,12.54839
2003.126,375.55,12.6419525
2003.2027,376.04,13.243049
2003.2877,377.58,14.241501
2003.3699,378.28,15.247869
2003.4548,378.07,15.843976
2003.537,376.54,16.181677
2003.6219,374.42,16.157375
2003.7068,372.92,15.520067
2003.789,372.94,14.550367
2003.874,374.29,13.332939
2003.9562,375.63,12.84275
2004.041,376.73,12.400086
2004.1257,377.31,12.756488
2004.2049,378.33,13.397877
2004.2896,380.44,14.347166
2004.3716,380.56,15.051244
2004.4563,379.49,15.889387
2004.5383,377.7,15.9530325
2004.623,375.77,15.949905
2004.7077,373.99,15.406212
2004.7896,374.17,14.453026
2004.8743,375.79,13.441527
2004.9563,377.39,12.569678
2005.0411,378.29,12.589417
2005.126,379.56,12.735444
2005.2027,380.07,13.497539
2005.2877,382.01,14.432028
2005.3699,382.21,15.331104
2005.4548,382.05,16.059278
2005.537,380.63,16.314203
2005.6219,378.64,16.141066
2005.7068,376.38,15.575912
2005.789,376.77,14.618165
2005.874,378.27,13.501832
2005.9562,379.93,12.766472
2006.0411,381.33,12.398083
2006.126,381.98,12.818839
2006.2027,382.53,13.397637
2006.2877,384.33,14.291636
2006.3699,384.89,15.1898365
2006.4548,384,16.063963
2006.537,382.25,16.232197
